Question	Answer	Metadata
5. What is the protocol for referring a case to management?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
Are there any fees for case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
1. Do case management services come with any associated fees?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
2. Are there charges involved for utilizing case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
3. Is there a cost for accessing case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
4. Will I need to pay any fees for case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
5. Are there any costs linked to case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
What is involved in the intake process for case management?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
1. Can you explain the steps included in the case management intake process?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
2. What are the key components of the intake procedure in case management?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
3. How is the intake process conducted in case management?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
4. What does the intake process entail in the context of case management?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
5. Could you describe the intake process for managing cases?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
What follow-up services are provided in case management?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
1. Could you describe the types of follow-up support available in case management?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
2. What kinds of follow-up assistance are offered through case management?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
3. What follow-up care options are included in case management services?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
4. What are the available follow-up services in a case management program?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
5. How does case management address follow-up needs for clients?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
Where can I find more information about case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
1. What are some good resources for learning about case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
2. Can you recommend places to find detailed information on case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
3. Where should I look to get more insights into case management practices?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
4. Which websites or books offer comprehensive information on case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
5. How can I access more details and guidance on case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
What is case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
1. How would you define case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
2. Can you explain what case management entails?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
"3. What does the term ""case management"" refer to?"	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
4. Could you describe the concept of case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
5. What are the key elements of case management?	Case management at the University of Ottawa involves a non-clinical service that supports students with complex needs by coordinating various resources both within the university and the community.	topic:Case Management; subTopic:Case Management - General Info
Who can access case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
1. Who is eligible to receive case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
2. Which individuals are permitted to use case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
3. Who has the right to utilize case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
4. Who is allowed to benefit from case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
5. Who qualifies for case management services?	All University of Ottawa students with complex needs that require coordination of various support services can access case management services.	topic:Case Management; subTopic:Case Management - General Info
What are the goals of case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
1. What objectives does case management aim to achieve?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
2. What is the purpose of implementing case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
3. What targets are set within the framework of case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
4. What outcomes does case management strive to accomplish?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
5. What are the intended results of effective case management?	The goals of case management are to provide an integrated approach to managing academic, health, or personal needs by creating a personalized support system.	topic:Case Management; subTopic:Case Management - General Info
How does case management work?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
1. What is the process involved in case management?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
2. Can you explain the functioning of case management?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
3. How is case management implemented in practice?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
4. What are the steps involved in managing a case?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
5. How does the case management system operate?	Case management works by assessing the student's needs and coordinating various resources and services, both within and outside the university, to support the student in overcoming challenges.	topic:Case Management; subTopic:Case Management - General Info
What types of support are included in case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
1. Can you list the different kinds of assistance provided through case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
2. What forms of support are typically offered in case management services?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
3. What are the various types of aid included in case management programs?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
4. Could you describe the support options available within case management?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
5. What specific types of help do case management services usually encompass?	Support in case management includes academic accommodations, mental health support, assistance with housing, and connection to community resources.	topic:Case Management; subTopic:Case Management - General Info
How can a student request case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
1. What steps should a student follow to access case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
2. How does a student go about obtaining case management support?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
3. What is the process for a student to apply for case management services?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
4. Can you guide a student on how to seek case management assistance?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
5. What are the procedures for a student to request case management help?	A student can request case management services by contacting the Student Support team through the University of Ottawa's website or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
What is the referral process for case management?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
1. How do you initiate a referral for case management services?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
2. Can you explain the steps involved in the case management referral procedure?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
3. What are the necessary steps to refer someone to case management?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
4. How is a case management referral typically processed?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
5. What procedures are followed for making a referral to case management?	The referral process involves a student or someone concerned about the student contacting the case management team, who will then assess the situation and determine the appropriate services needed.	topic:Case Management; subTopic:Case Management - General Info
Are there any fees for case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
1. Do case management services come with any associated charges?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
2. Are there any costs involved with accessing case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
3. Is there a fee required for utilizing case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
4. What are the expenses, if any, for case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
5. Are users required to pay for case management services?	No, case management services are provided free of charge to all students at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
What is involved in the intake process for case management?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
1. Can you describe the steps included in the case management intake process?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
2. What are the key components of the intake procedure for case management?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
3. How is the intake process for case management carried out?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
4. What activities are part of the case management intake process?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
5. What does the case management intake process entail?	The intake process involves an initial assessment where the case manager gathers information about the student's needs and challenges to create a tailored support plan.	topic:Case Management; subTopic:Case Management - Services
What follow-up services are provided in case management?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
1. What types of follow-up support are included in case management services?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
2. Can you detail the follow-up care offered through case management?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
3. What follow-up options are available as part of case management?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
4. How does case management ensure continued support through follow-up services?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
5. What follow-up procedures are typically implemented in case management programs?	Follow-up services in case management include regular check-ins to monitor the student's progress, adjustments to the support plan as needed, and ongoing coordination of services.	topic:Case Management; subTopic:Case Management - Services
Where can I find more information about case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
1. Where should I look to learn more about case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
2. Can you guide me to resources on case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
3. How can I access detailed information on case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
4. What are the best sources for understanding case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
5. Where might I explore further details about case management?	More information about case management services can be found on the University of Ottawa's official website under the Student Health and Wellness section.	topic:Case Management; subTopic:Case Management - General Info
How can faculty members refer a student to case management?	Faculty members can refer a student to case management by contacting the Student Support team directly through the University's internal communication channels.	topic:Case Management; subTopic:Case Management - General Info
1. What is the process for faculty to direct a student to case management services?	Faculty members can refer a student to case management by contacting the Student Support team directly through the University's internal communication channels.	topic:Case Management; subTopic:Case Management - General Info
2. In what ways can faculty members initiate a referral for a student to case management?	Faculty members can refer a student to case management by contacting the Student Support team directly through the University's internal communication channels.	topic:Case Management; subTopic:Case Management - General Info
3. How do professors go about referring a student to the case management team?	Faculty members can refer a student to case management by contacting the Student Support team directly through the University's internal communication channels.	topic:Case Management; subTopic:Case Management - General Info
4. What steps should faculty take to recommend a student for case management support?	Faculty members can refer a student to case management by contacting the Student Support team directly through the University's internal communication channels.	topic:Case Management; subTopic:Case Management - General Info
5. How can instructors connect a student with case management resources?	Faculty members can refer a student to case management by contacting the Student Support team directly through the University's internal communication channels.	topic:Case Management; subTopic:Case Management - General Info
What happens after a referral is made?	After a referral is made, the case management team will reach out to the student to assess their needs and begin coordinating the necessary services.	topic:Case Management; subTopic:Case Management - General Info
1. What are the next steps once a referral is submitted?	After a referral is made, the case management team will reach out to the student to assess their needs and begin coordinating the necessary services.	topic:Case Management; subTopic:Case Management - General Info
2. Can you explain the process that follows after making a referral?	After a referral is made, the case management team will reach out to the student to assess their needs and begin coordinating the necessary services.	topic:Case Management; subTopic:Case Management - General Info
3. What should one expect after initiating a referral?	After a referral is made, the case management team will reach out to the student to assess their needs and begin coordinating the necessary services.	topic:Case Management; subTopic:Case Management - General Info
4. What is the procedure that occurs post-referral?	After a referral is made, the case management team will reach out to the student to assess their needs and begin coordinating the necessary services.	topic:Case Management; subTopic:Case Management - General Info
5. How does the process proceed after a referral has been made?	After a referral is made, the case management team will reach out to the student to assess their needs and begin coordinating the necessary services.	topic:Case Management; subTopic:Case Management - General Info
Can students self-refer to case management?	Yes, students can self-refer to case management by contacting the Student Support team or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
1. Are students allowed to initiate their own referral for case management services?	Yes, students can self-refer to case management by contacting the Student Support team or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
2. Is it possible for students to independently access case management support?	Yes, students can self-refer to case management by contacting the Student Support team or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
3. Do students have the option to directly request case management assistance?	Yes, students can self-refer to case management by contacting the Student Support team or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
4. Can students themselves start the process of getting case management help?	Yes, students can self-refer to case management by contacting the Student Support team or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
5. Are students permitted to refer themselves for case management interventions?	Yes, students can self-refer to case management by contacting the Student Support team or by visiting the Student Health and Wellness Centre.	topic:Case Management; subTopic:Case Management - General Info
What should a student expect during the initial case management meeting?	During the initial case management meeting, students can expect to discuss their challenges, needs, and goals with the case manager, who will then create a personalized support plan.	topic:Case Management; subTopic:Case Management - General Info
1. What can a student anticipate happening in their first case management meeting?	During the initial case management meeting, students can expect to discuss their challenges, needs, and goals with the case manager, who will then create a personalized support plan.	topic:Case Management; subTopic:Case Management - General Info
2. How does the initial case management meeting typically unfold for a student?	During the initial case management meeting, students can expect to discuss their challenges, needs, and goals with the case manager, who will then create a personalized support plan.	topic:Case Management; subTopic:Case Management - General Info
3. What are the key elements a student should prepare for in their introductory case management session?	During the initial case management meeting, students can expect to discuss their challenges, needs, and goals with the case manager, who will then create a personalized support plan.	topic:Case Management; subTopic:Case Management - General Info
4. What occurs during the first case management meeting that a student should be aware of?	During the initial case management meeting, students can expect to discuss their challenges, needs, and goals with the case manager, who will then create a personalized support plan.	topic:Case Management; subTopic:Case Management - General Info
5. What is the process like for students attending their initial case management meeting?	During the initial case management meeting, students can expect to discuss their challenges, needs, and goals with the case manager, who will then create a personalized support plan.	topic:Case Management; subTopic:Case Management - General Info
What are the benefits of using case management services?	The benefits of using case management services include receiving personalized support, having a single point of contact for various services, and better managing academic and personal challenges.	topic:Case Management; subTopic:Case Management - Services
1. How can individuals or organizations benefit from utilizing case management services?	The benefits of using case management services include receiving personalized support, having a single point of contact for various services, and better managing academic and personal challenges.	topic:Case Management; subTopic:Case Management - Services
2. What advantages do case management services offer to their users?	The benefits of using case management services include receiving personalized support, having a single point of contact for various services, and better managing academic and personal challenges.	topic:Case Management; subTopic:Case Management - Services
3. Why should someone consider using case management services?	The benefits of using case management services include receiving personalized support, having a single point of contact for various services, and better managing academic and personal challenges.	topic:Case Management; subTopic:Case Management - Services
4. In what ways can case management services improve outcomes for users?	The benefits of using case management services include receiving personalized support, having a single point of contact for various services, and better managing academic and personal challenges.	topic:Case Management; subTopic:Case Management - Services
5. What positive impacts can be expected from engaging with case management services?	The benefits of using case management services include receiving personalized support, having a single point of contact for various services, and better managing academic and personal challenges.	topic:Case Management; subTopic:Case Management - Services
Can case management services assist with off-campus resources?	Yes, case management services can assist students in connecting with off-campus resources, such as community support services, housing assistance, and mental health resources.	topic:Case Management; subTopic:Case Management - Services
1. Are off-campus resources included in the support provided by case management services?	Yes, case management services can assist students in connecting with off-campus resources, such as community support services, housing assistance, and mental health resources.	topic:Case Management; subTopic:Case Management - Services
2. Do case management services offer help in accessing resources outside the campus?	Yes, case management services can assist students in connecting with off-campus resources, such as community support services, housing assistance, and mental health resources.	topic:Case Management; subTopic:Case Management - Services
3. How can case management services aid in connecting with off-campus resources?	Yes, case management services can assist students in connecting with off-campus resources, such as community support services, housing assistance, and mental health resources.	topic:Case Management; subTopic:Case Management - Services
4. Is it possible for case management services to facilitate access to resources beyond the campus?	Yes, case management services can assist students in connecting with off-campus resources, such as community support services, housing assistance, and mental health resources.	topic:Case Management; subTopic:Case Management - Services
5. What role do case management services play in utilizing off-campus resources?	Yes, case management services can assist students in connecting with off-campus resources, such as community support services, housing assistance, and mental health resources.	topic:Case Management; subTopic:Case Management - Services
How does case management coordinate with other university services?	Case management coordinates with other university services by working closely with departments such as academic accommodations, health services, and student affairs to provide comprehensive support.	topic:Case Management; subTopic:Case Management - General Info
1. In what ways does case management collaborate with other departments within the university?	Case management coordinates with other university services by working closely with departments such as academic accommodations, health services, and student affairs to provide comprehensive support.	topic:Case Management; subTopic:Case Management - General Info
2. How is case management integrated with various services offered by the university?	Case management coordinates with other university services by working closely with departments such as academic accommodations, health services, and student affairs to provide comprehensive support.	topic:Case Management; subTopic:Case Management - General Info
3. What methods does case management use to work alongside other university services?	Case management coordinates with other university services by working closely with departments such as academic accommodations, health services, and student affairs to provide comprehensive support.	topic:Case Management; subTopic:Case Management - General Info
4. How does case management interact with other services at the university to provide comprehensive support?	Case management coordinates with other university services by working closely with departments such as academic accommodations, health services, and student affairs to provide comprehensive support.	topic:Case Management; subTopic:Case Management - General Info
5. Can you explain the coordination process between case management and other university services?	Case management coordinates with other university services by working closely with departments such as academic accommodations, health services, and student affairs to provide comprehensive support.	topic:Case Management; subTopic:Case Management - General Info
What should I do if I am concerned about a friend?	If you are concerned about a friend, you can refer them to case management by contacting the Student Support team or by encouraging them to reach out themselves.	topic:Case Management; subTopic:Case Management - General Info
