Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
4. Where is the nearest doctor's office on campus that I can make an appointment with?	At the Student Health and Wellness Centre. Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	"category:health_services|keywords:[""doctor's appointment"", 'campus', 'Student Health and Wellness Centre', 'web portal', 'CHR Connect mobile app', 'calling']|audience:['students']|language:en|additional_information:It is important to note that some universities may have different names or locations for their health and wellness centers, so it is recommended to check with your specific institution for more information."	[]	False	[]	
5. What are my options for scheduling a doctor's appointment on campus?	At the Student Health and Wellness Centre. Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	"category:health_services|keywords:[""doctor's appointment"", 'campus', 'Student Health and Wellness Centre', 'web portal', 'CHR Connect mobile app', 'calling']|audience:['students']|language:en|additional_information:It is important to note that some universities may have different names or locations for their health and wellness centers, so it is recommended to check with your specific institution for more information."	[]	False	[]	
How do I meet with a psychotherapist?	By taking an appointment at the Student Health and Wellness Centre.	Generated	category:health_services|keywords:['meet', 'psychotherapist']|audience:students|language:en|additional_information:The answer suggests that the Student Health and Wellness Centre is the place to make appointments with psychotherapists. It is possible that there may be other options available, but this answer only provides information about one specific location.	[]	False	[]	
1. What steps can I take to schedule an appointment with a psychotherapist?	By taking an appointment at the Student Health and Wellness Centre.	Generated	category:health_services|keywords:['meet', 'psychotherapist']|audience:students|language:en|additional_information:The answer suggests that the Student Health and Wellness Centre is the place to make appointments with psychotherapists. It is possible that there may be other options available, but this answer only provides information about one specific location.	[]	False	[]	
2. Where can I find a qualified psychotherapist to meet with?	By taking an appointment at the Student Health and Wellness Centre.	Generated	category:health_services|keywords:['meet', 'psychotherapist']|audience:students|language:en|additional_information:The answer suggests that the Student Health and Wellness Centre is the place to make appointments with psychotherapists. It is possible that there may be other options available, but this answer only provides information about one specific location.	[]	False	[]	
3. What are the best ways to prepare for a session with a psychotherapist?	By taking an appointment at the Student Health and Wellness Centre.	Generated	category:health_services|keywords:['meet', 'psychotherapist']|audience:students|language:en|additional_information:The answer suggests that the Student Health and Wellness Centre is the place to make appointments with psychotherapists. It is possible that there may be other options available, but this answer only provides information about one specific location.	[]	False	[]	
4. Can you recommend any reliable sources for finding a psychotherapist to meet with?	By taking an appointment at the Student Health and Wellness Centre.	Generated	category:health_services|keywords:['meet', 'psychotherapist']|audience:students|language:en|additional_information:The answer suggests that the Student Health and Wellness Centre is the place to make appointments with psychotherapists. It is possible that there may be other options available, but this answer only provides information about one specific location.	[]	False	[]	
5. How long does it typically take to get an appointment with a psychotherapist?	By taking an appointment at the Student Health and Wellness Centre.	Generated	category:health_services|keywords:['meet', 'psychotherapist']|audience:students|language:en|additional_information:The answer suggests that the Student Health and Wellness Centre is the place to make appointments with psychotherapists. It is possible that there may be other options available, but this answer only provides information about one specific location.	[]	False	[]	
How can I book an appointment at the clinic on campus?	Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	category:health_services|keywords:['book', 'appointment', 'clinic', 'campus']|audience:['students', 'staff']|language:en|additional_information:[{'method': 'web portal', 'url': 'https://example.com/book-appointment'}, {'method': 'mobile app', 'name': 'CHR Connect', 'store_link': 'https://example.com/chr-connect'}, {'method': 'phone', 'number': '613-562-5498'}]	[]	False	[]	
1. What is the process to schedule an appointment at the campus clinic?	Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	category:health_services|keywords:['book', 'appointment', 'clinic', 'campus']|audience:['students', 'staff']|language:en|additional_information:[{'method': 'web portal', 'url': 'https://example.com/book-appointment'}, {'method': 'mobile app', 'name': 'CHR Connect', 'store_link': 'https://example.com/chr-connect'}, {'method': 'phone', 'number': '613-562-5498'}]	[]	False	[]	
2. Is there a specific way to make an appointment at the clinic on campus?	Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	category:health_services|keywords:['book', 'appointment', 'clinic', 'campus']|audience:['students', 'staff']|language:en|additional_information:[{'method': 'web portal', 'url': 'https://example.com/book-appointment'}, {'method': 'mobile app', 'name': 'CHR Connect', 'store_link': 'https://example.com/chr-connect'}, {'method': 'phone', 'number': '613-562-5498'}]	[]	False	[]	
3. Can you tell me the steps for booking a visit at the campus clinic?	Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	category:health_services|keywords:['book', 'appointment', 'clinic', 'campus']|audience:['students', 'staff']|language:en|additional_information:[{'method': 'web portal', 'url': 'https://example.com/book-appointment'}, {'method': 'mobile app', 'name': 'CHR Connect', 'store_link': 'https://example.com/chr-connect'}, {'method': 'phone', 'number': '613-562-5498'}]	[]	False	[]	
4. How do I go about scheduling an appointment at the clinic located on campus?	Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	category:health_services|keywords:['book', 'appointment', 'clinic', 'campus']|audience:['students', 'staff']|language:en|additional_information:[{'method': 'web portal', 'url': 'https://example.com/book-appointment'}, {'method': 'mobile app', 'name': 'CHR Connect', 'store_link': 'https://example.com/chr-connect'}, {'method': 'phone', 'number': '613-562-5498'}]	[]	False	[]	
5. What are the options available for me to book an appointment at the campus clinic?	Using the web portal, the CHR Connect mobile app, or by calling us at 613-562-5498	Generated	category:health_services|keywords:['book', 'appointment', 'clinic', 'campus']|audience:['students', 'staff']|language:en|additional_information:[{'method': 'web portal', 'url': 'https://example.com/book-appointment'}, {'method': 'mobile app', 'name': 'CHR Connect', 'store_link': 'https://example.com/chr-connect'}, {'method': 'phone', 'number': '613-562-5498'}]	[]	False	[]	
How can I get academic accommodations?	You can create an account on Ventus, and start your onboaridng process. You will be asked to upload supporting medical documentation that will then be reviewed by a learning specialist who will assist you in the process of getting your academic accomodations for your classes and/or your exams.	Generated		[]	False	[]	
1. What steps do I need to take to receive academic accommodations?	You can create an account on Ventus, and start your onboaridng process. You will be asked to upload supporting medical documentation that will then be reviewed by a learning specialist who will assist you in the process of getting your academic accomodations for your classes and/or your exams.	Generated		[]	False	[]	
2. Is there a process I need to follow to get academic accommodations?	You can create an account on Ventus, and start your onboaridng process. You will be asked to upload supporting medical documentation that will then be reviewed by a learning specialist who will assist you in the process of getting your academic accomodations for your classes and/or your exams.	Generated		[]	False	[]	
3. Who should I speak with to request academic accommodations?	You can create an account on Ventus, and start your onboaridng process. You will be asked to upload supporting medical documentation that will then be reviewed by a learning specialist who will assist you in the process of getting your academic accomodations for your classes and/or your exams.	Generated		[]	False	[]	
4. What types of academic accommodations are available and how can I access them?	You can create an account on Ventus, and start your onboaridng process. You will be asked to upload supporting medical documentation that will then be reviewed by a learning specialist who will assist you in the process of getting your academic accomodations for your classes and/or your exams.	Generated		[]	False	[]	
5. Can you explain how academic accommodations work and how I can obtain them?	You can create an account on Ventus, and start your onboaridng process. You will be asked to upload supporting medical documentation that will then be reviewed by a learning specialist who will assist you in the process of getting your academic accomodations for your classes and/or your exams.	Generated		[]	False	[]	
Do I need a doctors note to get Academic accommodations?	Yes you will need supporting medical documentations.	Generated	category:academic_support|keywords:['doctors note', 'academic accommodations', 'supporting medical documentations']|audience:['students']|language:en	[]	False	[]	
1. Is a doctor's note required for me to receive academic accommodations?	Yes you will need supporting medical documentations.	Generated	category:academic_support|keywords:['doctors note', 'academic accommodations', 'supporting medical documentations']|audience:['students']|language:en	[]	False	[]	
2. Do I have to provide a doctor's note to request academic accommodations?	Yes you will need supporting medical documentations.	Generated	category:academic_support|keywords:['doctors note', 'academic accommodations', 'supporting medical documentations']|audience:['students']|language:en	[]	False	[]	
3. Can I receive academic accommodations without a doctor's note?	Yes you will need supporting medical documentations.	Generated	category:academic_support|keywords:['doctors note', 'academic accommodations', 'supporting medical documentations']|audience:['students']|language:en	[]	False	[]	
4. Will I be granted academic accommodations if I do not have a doctor's note?	Yes you will need supporting medical documentations.	Generated	category:academic_support|keywords:['doctors note', 'academic accommodations', 'supporting medical documentations']|audience:['students']|language:en	[]	False	[]	
5. Is it necessary for me to have a doctor's note in order to receive academic accommodations?	Yes you will need supporting medical documentations.	Generated	category:academic_support|keywords:['doctors note', 'academic accommodations', 'supporting medical documentations']|audience:['students']|language:en	[]	False	[]	
Does uOttawa do HIV testing?	For HIV testing, the University of Ottawa, in partnership with Somerset West Community Health Centre,  offers free weekly rapid anonymous HIV testing on Wednesdays between 12pm-3pm.	Generated	category:health_services|keywords:['uOttawa', 'HIV testing', 'anonymous testing', 'Somerset West Community Health Centre']|audience:['students', 'staff', 'visitors']|language:en|additional_information:Testing is conducted in partnership with Somerset West Community Health Centre and is free and anonymous. Testing is available on Wednesdays between 12pm-3pm.	[]	False	[]	
1. Can you get tested for HIV at uOttawa?	For HIV testing, the University of Ottawa, in partnership with Somerset West Community Health Centre,  offers free weekly rapid anonymous HIV testing on Wednesdays between 12pm-3pm.	Generated	category:health_services|keywords:['uOttawa', 'HIV testing', 'anonymous testing', 'Somerset West Community Health Centre']|audience:['students', 'staff', 'visitors']|language:en|additional_information:Testing is conducted in partnership with Somerset West Community Health Centre and is free and anonymous. Testing is available on Wednesdays between 12pm-3pm.	[]	False	[]	
2. Is HIV testing offered at uOttawa?	For HIV testing, the University of Ottawa, in partnership with Somerset West Community Health Centre,  offers free weekly rapid anonymous HIV testing on Wednesdays between 12pm-3pm.	Generated	category:health_services|keywords:['uOttawa', 'HIV testing', 'anonymous testing', 'Somerset West Community Health Centre']|audience:['students', 'staff', 'visitors']|language:en|additional_information:Testing is conducted in partnership with Somerset West Community Health Centre and is free and anonymous. Testing is available on Wednesdays between 12pm-3pm.	[]	False	[]	
3. Are HIV tests available at uOttawa?	For HIV testing, the University of Ottawa, in partnership with Somerset West Community Health Centre,  offers free weekly rapid anonymous HIV testing on Wednesdays between 12pm-3pm.	Generated	category:health_services|keywords:['uOttawa', 'HIV testing', 'anonymous testing', 'Somerset West Community Health Centre']|audience:['students', 'staff', 'visitors']|language:en|additional_information:Testing is conducted in partnership with Somerset West Community Health Centre and is free and anonymous. Testing is available on Wednesdays between 12pm-3pm.	[]	False	[]	
4. Does uOttawa provide HIV testing services?	For HIV testing, the University of Ottawa, in partnership with Somerset West Community Health Centre,  offers free weekly rapid anonymous HIV testing on Wednesdays between 12pm-3pm.	Generated	category:health_services|keywords:['uOttawa', 'HIV testing', 'anonymous testing', 'Somerset West Community Health Centre']|audience:['students', 'staff', 'visitors']|language:en|additional_information:Testing is conducted in partnership with Somerset West Community Health Centre and is free and anonymous. Testing is available on Wednesdays between 12pm-3pm.	[]	False	[]	
5. Are there HIV testing facilities at uOttawa?	For HIV testing, the University of Ottawa, in partnership with Somerset West Community Health Centre,  offers free weekly rapid anonymous HIV testing on Wednesdays between 12pm-3pm.	Generated	category:health_services|keywords:['uOttawa', 'HIV testing', 'anonymous testing', 'Somerset West Community Health Centre']|audience:['students', 'staff', 'visitors']|language:en|additional_information:Testing is conducted in partnership with Somerset West Community Health Centre and is free and anonymous. Testing is available on Wednesdays between 12pm-3pm.	[]	False	[]	
How can I get an appointment for my mental health on campus?	By taking an appointment at the Student Health and WellnessCcentre.	Generated	category:health_services|keywords:['appointment', 'mental health', 'campus', 'Student Health and Wellness Centre']|audience:students|language:en	[]	False	[]	
1. Is it possible to schedule an appointment for mental health services at the campus?	By taking an appointment at the Student Health and WellnessCcentre.	Generated	category:health_services|keywords:['appointment', 'mental health', 'campus', 'Student Health and Wellness Centre']|audience:students|language:en	[]	False	[]	
2. Can you guide me on how to book an appointment for mental health counseling on campus?	By taking an appointment at the Student Health and WellnessCcentre.	Generated	category:health_services|keywords:['appointment', 'mental health', 'campus', 'Student Health and Wellness Centre']|audience:students|language:en	[]	False	[]	
3. What options are available for booking an appointment with a mental health professional on campus?	By taking an appointment at the Student Health and WellnessCcentre.	Generated	category:health_services|keywords:['appointment', 'mental health', 'campus', 'Student Health and Wellness Centre']|audience:students|language:en	[]	False	[]	
4. Who should I contact to schedule an appointment for mental health support on campus?	By taking an appointment at the Student Health and WellnessCcentre.	Generated	category:health_services|keywords:['appointment', 'mental health', 'campus', 'Student Health and Wellness Centre']|audience:students|language:en	[]	False	[]	
5. Are there any specific procedures or requirements to follow when making an appointment for mental health services on campus?	By taking an appointment at the Student Health and WellnessCcentre.	Generated	category:health_services|keywords:['appointment', 'mental health', 'campus', 'Student Health and Wellness Centre']|audience:students|language:en	[]	False	[]	
What is the phone number of the clinic on campus?	613-562-5498	Generated	category:health_services|keywords:['phone number', 'clinic', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_information:This phone number is for the clinic located on the campus mentioned in the question.	[]	False	[]	
1. Could you provide me with the contact number of the clinic situated on campus?	613-562-5498	Generated	category:health_services|keywords:['phone number', 'clinic', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_information:This phone number is for the clinic located on the campus mentioned in the question.	[]	False	[]	
2. Do you happen to know the phone number of the clinic located on campus?	613-562-5498	Generated	category:health_services|keywords:['phone number', 'clinic', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_information:This phone number is for the clinic located on the campus mentioned in the question.	[]	False	[]	
3. Is there a clinic on campus and if so, what is their phone number?	613-562-5498	Generated	category:health_services|keywords:['phone number', 'clinic', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_information:This phone number is for the clinic located on the campus mentioned in the question.	[]	False	[]	
4. I need to get in touch with the clinic on campus. Can you tell me their phone number?	613-562-5498	Generated	category:health_services|keywords:['phone number', 'clinic', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_information:This phone number is for the clinic located on the campus mentioned in the question.	[]	False	[]	
5. What is the phone number for the campus clinic that I can use to schedule an appointment?	613-562-5498	Generated	category:health_services|keywords:['phone number', 'clinic', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_information:This phone number is for the clinic located on the campus mentioned in the question.	[]	False	[]	
Is the clinic on campus open right now?	Fall and winter hours of operations  Monday: 8 am to 4 pm Tuesday: 8 am to 4 pm  Wednesday: 8 am to 4 pm Thursday: 8 am to 4 pm Friday: 8 am to 4 pm Saturday: 9 am to 2 pm  Sunday: Closed	Generated	category:health_services|keywords:['clinic', 'campus', 'open']|audience:['students', 'staff']|language:en|additional_info:['Fall and winter hours of operation: Monday to Friday from 8 am to 4 pm, Saturday from 9 am to 2 pm, and closed on Sundays.']	[]	False	[]	
1. What are the operating hours of the clinic on campus?	Fall and winter hours of operations  Monday: 8 am to 4 pm Tuesday: 8 am to 4 pm  Wednesday: 8 am to 4 pm Thursday: 8 am to 4 pm Friday: 8 am to 4 pm Saturday: 9 am to 2 pm  Sunday: Closed	Generated	category:health_services|keywords:['clinic', 'campus', 'open']|audience:['students', 'staff']|language:en|additional_info:['Fall and winter hours of operation: Monday to Friday from 8 am to 4 pm, Saturday from 9 am to 2 pm, and closed on Sundays.']	[]	False	[]	
2. Can you tell me if the clinic on campus is currently open?	Fall and winter hours of operations  Monday: 8 am to 4 pm Tuesday: 8 am to 4 pm  Wednesday: 8 am to 4 pm Thursday: 8 am to 4 pm Friday: 8 am to 4 pm Saturday: 9 am to 2 pm  Sunday: Closed	Generated	category:health_services|keywords:['clinic', 'campus', 'open']|audience:['students', 'staff']|language:en|additional_info:['Fall and winter hours of operation: Monday to Friday from 8 am to 4 pm, Saturday from 9 am to 2 pm, and closed on Sundays.']	[]	False	[]	
3. At what time does the clinic on campus close today?	Fall and winter hours of operations  Monday: 8 am to 4 pm Tuesday: 8 am to 4 pm  Wednesday: 8 am to 4 pm Thursday: 8 am to 4 pm Friday: 8 am to 4 pm Saturday: 9 am to 2 pm  Sunday: Closed	Generated	category:health_services|keywords:['clinic', 'campus', 'open']|audience:['students', 'staff']|language:en|additional_info:['Fall and winter hours of operation: Monday to Friday from 8 am to 4 pm, Saturday from 9 am to 2 pm, and closed on Sundays.']	[]	False	[]	
4. Would you happen to know if the clinic on campus is available for walk-ins?	Fall and winter hours of operations  Monday: 8 am to 4 pm Tuesday: 8 am to 4 pm  Wednesday: 8 am to 4 pm Thursday: 8 am to 4 pm Friday: 8 am to 4 pm Saturday: 9 am to 2 pm  Sunday: Closed	Generated	category:health_services|keywords:['clinic', 'campus', 'open']|audience:['students', 'staff']|language:en|additional_info:['Fall and winter hours of operation: Monday to Friday from 8 am to 4 pm, Saturday from 9 am to 2 pm, and closed on Sundays.']	[]	False	[]	
5. Is there a specific time when the clinic on campus opens in the morning?	Fall and winter hours of operations  Monday: 8 am to 4 pm Tuesday: 8 am to 4 pm  Wednesday: 8 am to 4 pm Thursday: 8 am to 4 pm Friday: 8 am to 4 pm Saturday: 9 am to 2 pm  Sunday: Closed	Generated	category:health_services|keywords:['clinic', 'campus', 'open']|audience:['students', 'staff']|language:en|additional_info:['Fall and winter hours of operation: Monday to Friday from 8 am to 4 pm, Saturday from 9 am to 2 pm, and closed on Sundays.']	[]	False	[]	
What is Case management?	The Student Support team offers non-clinical case management services to students with complex needs at the University of Ottawa.	Generated	category:academic_support|keywords:['case management', 'student support', 'complex needs', 'University of Ottawa']|audience:students|language:en|additional_information:The Student Support team provides non-clinical services to students with complex needs such as academic accommodations, financial aid, and mental health support.	[]	False	[]	
1. Could you define what Case management means?	The Student Support team offers non-clinical case management services to students with complex needs at the University of Ottawa.	Generated	category:academic_support|keywords:['case management', 'student support', 'complex needs', 'University of Ottawa']|audience:students|language:en|additional_information:The Student Support team provides non-clinical services to students with complex needs such as academic accommodations, financial aid, and mental health support.	[]	False	[]	
2. How would you describe Case management?	The Student Support team offers non-clinical case management services to students with complex needs at the University of Ottawa.	Generated	category:academic_support|keywords:['case management', 'student support', 'complex needs', 'University of Ottawa']|audience:students|language:en|additional_information:The Student Support team provides non-clinical services to students with complex needs such as academic accommodations, financial aid, and mental health support.	[]	False	[]	
3. Can you explain the concept of Case management?	The Student Support team offers non-clinical case management services to students with complex needs at the University of Ottawa.	Generated	category:academic_support|keywords:['case management', 'student support', 'complex needs', 'University of Ottawa']|audience:students|language:en|additional_information:The Student Support team provides non-clinical services to students with complex needs such as academic accommodations, financial aid, and mental health support.	[]	False	[]	
4. What are the key aspects of Case management?	The Student Support team offers non-clinical case management services to students with complex needs at the University of Ottawa.	Generated	category:academic_support|keywords:['case management', 'student support', 'complex needs', 'University of Ottawa']|audience:students|language:en|additional_information:The Student Support team provides non-clinical services to students with complex needs such as academic accommodations, financial aid, and mental health support.	[]	False	[]	
5. In what ways is Case management utilized?	The Student Support team offers non-clinical case management services to students with complex needs at the University of Ottawa.	Generated	category:academic_support|keywords:['case management', 'student support', 'complex needs', 'University of Ottawa']|audience:students|language:en|additional_information:The Student Support team provides non-clinical services to students with complex needs such as academic accommodations, financial aid, and mental health support.	[]	False	[]	
What is the uoWellness app?	The uoWellness app is a one-stop solution for health and wellness designed by students, for students, and tailored to university life. The app helps make your wellness journey simpler and engaging.	Generated	category:health_services|keywords:['uoWellness', 'app', 'health', 'wellness', 'students', 'university']|audience:students|language:en	[]	False	[]	
1. Could you tell me about the uoWellness app?	The uoWellness app is a one-stop solution for health and wellness designed by students, for students, and tailored to university life. The app helps make your wellness journey simpler and engaging.	Generated	category:health_services|keywords:['uoWellness', 'app', 'health', 'wellness', 'students', 'university']|audience:students|language:en	[]	False	[]	
2. What does the uoWellness app do?	The uoWellness app is a one-stop solution for health and wellness designed by students, for students, and tailored to university life. The app helps make your wellness journey simpler and engaging.	Generated	category:health_services|keywords:['uoWellness', 'app', 'health', 'wellness', 'students', 'university']|audience:students|language:en	[]	False	[]	
3. How does the uoWellness app work?	The uoWellness app is a one-stop solution for health and wellness designed by students, for students, and tailored to university life. The app helps make your wellness journey simpler and engaging.	Generated	category:health_services|keywords:['uoWellness', 'app', 'health', 'wellness', 'students', 'university']|audience:students|language:en	[]	False	[]	
4. I'm not familiar with the uoWellness app. Can you provide some information about it?	The uoWellness app is a one-stop solution for health and wellness designed by students, for students, and tailored to university life. The app helps make your wellness journey simpler and engaging.	Generated	category:health_services|keywords:['uoWellness', 'app', 'health', 'wellness', 'students', 'university']|audience:students|language:en	[]	False	[]	
5. Can you explain the purpose of the uoWellness app?	The uoWellness app is a one-stop solution for health and wellness designed by students, for students, and tailored to university life. The app helps make your wellness journey simpler and engaging.	Generated	category:health_services|keywords:['uoWellness', 'app', 'health', 'wellness', 'students', 'university']|audience:students|language:en	[]	False	[]	
How much is a doctor's appointment at the student health and Wellness centre?	The Health fee to acess the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	"category:health_services|keywords:[""doctor's appointment"", 'student health and wellness center', 'fees']|audience:students|language:en|additional_information:The Health fee to access the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee."	[]	False	[]	
1. What is the cost of a doctor's appointment at the student health and wellness center?	The Health fee to acess the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	"category:health_services|keywords:[""doctor's appointment"", 'student health and wellness center', 'fees']|audience:students|language:en|additional_information:The Health fee to access the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee."	[]	False	[]	
2. How much do I need to pay for a doctor's visit at the student health and wellness center?	The Health fee to acess the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	"category:health_services|keywords:[""doctor's appointment"", 'student health and wellness center', 'fees']|audience:students|language:en|additional_information:The Health fee to access the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee."	[]	False	[]	
